file,class,contact_sheets,contact_rows,distinct_emails,multiemail_cells,fwdfill_rows,mapped_fields,google
190039-Contacts.xlsx,AUTO,2,85,44,4,43,company|discipline|email|mobile|note|phone,
190040-Contacts.xlsx,AUTO,1,56,58,0,26,company|contact|discipline|email|mobile|phone,
190044-Contacts.xlsx,AUTO,4,119,97,1,2,company|contact|email|phone|role,
190093-Contacts.xlsx,AUTO,1,27,27,0,22,company|contact|discipline|email|mobile|phone|role,
190106-Contacts.xlsx,AUTO,1,29,40,8,6,address|company|discipline|email|phone,
190117-Contacts.xlsx,AUTO,1,37,51,5,7,address|company|discipline|email|mobile|phone,
210007-Contacts.xlsx,AUTO,1,44,44,0,19,company|contact|discipline|email|phone,
210010-Contacts.xlsx,NON_CONTACT,0,0,0,0,0,,
210020-Contacts.xlsx,AUTO,1,25,53,11,0,address|company|discipline|email|phone,
210026-Contacts.xlsx,AUTO,1,49,48,0,13,company|contact|email|mobile,
210033-Contacts.xlsx,MANUAL,1,29,42,0,2,address|company|contact|discipline|mobile|phone,
210036-Contacts.xlsx,NON_CONTACT,0,0,0,0,0,,
210041-Contacts.xlsx,MANUAL,1,46,67,0,3,address|company|contact|discipline|mobile|phone,
210042-Contacts.xlsx,AUTO,1,24,24,0,5,company|contact|email|mobile,
210044-Contacts.xlsx,MANUAL,1,29,35,0,3,address|company|contact|discipline|mobile|phone,
210048-Contacts.xlsx,ERROR,File contains no valid workbook part,,,,,,
210049-Contacts.xlsx,AUTO,1,30,30,0,10,company|contact|email|phone|role,
210050-Contacts.xlsx,MANUAL,1,50,48,0,2,address|company|contact|mobile|phone|role,
210051-Contacts.xlsx,AUTO,1,22,19,0,2,address|company|contact|email|mobile|phone,
210058-Contacts.xlsx,AUTO,1,32,31,0,14,company|discipline|email|mobile|phone|role,
210059-Contacts.xlsx,AUTO,1,18,18,0,5,company|contact|discipline|email|mobile,
210060-Contacts.xlsx,AUTO,1,28,29,1,8,address|company|discipline|email|mobile|phone,
210065-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
210067-Contacts.xlsx,AUTO,2,103,100,0,51,company|contact|email|mobile|phone|role,
210070-Contacts.xlsx,ERROR,Bad magic number for file header,,,,,,
210075-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
210077-Contacts.xlsx,AUTO,2,139,143,42,63,address|company|email|mobile,
210078-Contacts.xlsx,AUTO,1,46,83,13,1,address|company|contact|discipline|email|phone,
210079-Contacts.xlsx,AUTO,2,48,32,2,0,contact|discipline|email|phone,
210081-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
210083-Contacts.csv,HEADERLESS_EMAILS,1,38,37,0,0,,
210083-Contacts.xlsx,AUTO,1,38,37,0,9,address|company|contact|discipline|email|mobile|phone,
210087-Contacts.xlsx,MANUAL,1,31,31,0,11,address|company|contact|mobile|phone|role,
220090-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
220095-Contacts.xlsx,MANUAL,1,31,31,0,12,address|company|contact|mobile|phone|role,
220097-Contacts.xlsx,AUTO,1,30,46,11,0,address|company|discipline|email|phone,
220098-Contacts.csv,HEADERLESS_EMAILS,1,49,48,0,0,,
220098-Contacts.xlsx,AUTO,1,49,48,0,27,address|company|contact|email|mobile|phone|role,
220103-Contacts.csv,HEADERLESS_EMAILS,1,33,33,0,0,,
220103-Contacts.xlsx,HEADERLESS_EMAILS,1,33,33,0,0,,
220104-Contacts.xlsx,ERROR,File is not a zip file,,,,,,
220107-Contacts.xlsx,AUTO,1,36,36,0,12,company|contact|discipline|email|mobile,
220108-Contacts.xlsx,AUTO,1,145,131,3,61,company|email|mobile|phone|role,
220109-Contacts.csv,AUTO,1,16,16,0,9,company|discipline|email|mobile|phone,
220109-Contacts.xlsx,AUTO,1,16,16,0,9,company|discipline|email|mobile|phone,
